step,probe,timestamp

allocate,start_time,2016-01-26 00:24:15.293614
allocate,stop_time,2016-01-26 00:24:19.976057
deallocate,start_time,2016-01-26 00:28:40.195690
deallocate,stop_time,2016-01-26 00:28:52.387043
