iteration,step,kernel,probe,timestamp

None,pre_loop,None,start_time,2016-01-27 02:32:48.781193
None,pre_loop,None,wait_time,2016-01-27 02:32:48.790900
None,pre_loop,None,res_time,2016-01-27 02:33:05.873957
None,pre_loop,None,stop_time,2016-01-27 02:33:05.874913
1,sim,kernel_0,start_time,2016-01-27 02:33:05.875657
1,sim,kernel_0,wait_time,2016-01-27 02:33:13.044183
1,sim,kernel_0,res_time,2016-01-27 02:42:51.476922
1,sim,kernel_0,stop_time,2016-01-27 02:42:51.481704
1,sim,post,start_time,2016-01-27 02:42:51.481736
1,sim,post,stop_time,2016-01-27 02:42:51.577650
1,ana,kernel_0,start_time,2016-01-27 02:42:51.792737
1,ana,kernel_0,wait_time,2016-01-27 02:42:52.087029
1,ana,kernel_0,res_time,2016-01-27 02:43:16.786459
1,ana,kernel_0,stop_time,2016-01-27 02:43:16.787165
1,ana,kernel_1,start_time,2016-01-27 02:43:16.787194
1,ana,kernel_1,wait_time,2016-01-27 02:43:17.012172
1,ana,kernel_1,res_time,2016-01-27 02:43:45.664435
1,ana,kernel_1,stop_time,2016-01-27 02:43:45.665021
1,ana,kernel_2,start_time,2016-01-27 02:43:45.665050
1,ana,kernel_2,wait_time,2016-01-27 02:43:45.901185
1,ana,kernel_2,res_time,2016-01-27 02:44:02.741500
1,ana,kernel_2,stop_time,2016-01-27 02:44:02.742272
1,ana,post,start_time,2016-01-27 02:44:02.742314
1,ana,post,stop_time,2016-01-27 02:44:02.742723
